token	jbo	rafsi	en	description	jbo description
gw					
gu					
ge			afterwards	時點前後. 以降. それから. さうして	
go			which	動詞に後置して作用域を開く	
ga					
ni					
ny					
nw					
nu	no	non	0	0	digit/number: 0 (digit) [zero].
ne			at	處格. …にて	
nq					
no	no'o		typical value	普通. 標準	digit/number: typical/average value.
na					
mi	mi	mib	me I	$nは我	pro-sumti: me/we the speaker(s)/author(s); identified by self-vocative.
my					
mw	ma		sumti ?	$nは誰, 何	pro-sumti: sumti question (what/who/how/why/etc.); appropriately fill in sumti blank.
mu	mu	mum	5	5	digit/number: 5 (digit) [five].
me					
mq					
mo	moi	mom moi	ordinal selbri	數に後置し序數を指す. $nは第…	convert number to ordinal selbri; $x_{1}$ is (n)th member of set $x_{2}$ ordered by rule $x_{3}$.
ma	mo'a	mob	not enough too few	最少量	digit/number: too few; subjective.
ci					
cy					
cw					
cu					
ce					
cq					
co					
ca			done	受動態. 前置詞と動詞に前置し, 動詞の同格を前置詞に對應する格に作用させる. 對格前置詞は省略し得る	
di					
dw					
du			do	現在	
de	de'a		pausative	停止相. …し已んでゐる	event contour for a temporary halt and ensuing pause in a process.
do	do	don doi	you	$nは汝	pro-sumti: you listener(s); identified by vocative.
da					
bi	bi	biv	8	8	digit/number: 8 (digit) [eight].
by			end	終了相. …し終へる	
bw					
bu					
be			by	主格. …が	
bq					
bo					
ba	ba'o		perfect retrospective	已然相. 既に	interval event contour: in the aftermath of ...; since ...; retrospective/perfect | |----.
ki	ki'o		number comma	1000. 3桁ごとの區切り	digit/number: number comma; thousands.
ky					
kw					
ku					
ke			_period	文が終はり發話が終はる	
kq					
ko	ko'a		it-1	$nは彼, あれ, それ, これ	pro-sumti: he/she/it/they #1 (specified by goi).
ka	ka'e		can innately capable of	叙想	modal aspect: innate capability; possibly unrealized.
ti					
tw			_loan	言語外の表現に前置して動詞化する. $nを表現$a…が指す	
tu					
te			to	與格. …へ	
to					
ta			_comma	文が終はり別の文が始まる	
pi	pi	piz	decimal point	小數点	digit/number: radix (number base) point; default decimal.
py					
pw					
pu	pu'o		anticipative	未然相. 未だに	interval event contour: in anticipation of ...; until ... ; inchoative ----| |.
pe					
pq					
po			of	數に後置し基數を指す. $nは…個	
pa	pa	pav	1	1	digit/number: 1 (digit) [one].
xw					
xu			while	時點同期. 同時に	
xe			with	共格. …が關はって	
xo			did	過去	
xa	xa	xav	6	6	digit/number: 6 (digit) [six].
li	ci	cib	3	3	digit/number: 3 (digit) [three].
ly					
le			because	因格. …に因って	
lq					
la	ca'o		as continuative	進行相. …してゐる	interval event contour: during ...; continuative |-----|.
sw					
su	so	soz	9	9	digit/number: 9 (digit) [nine].
se					
so	so'i	sor so'i	many much	多量	digit/number: many.
