jukni	juk			$x_{1}$ is a spider/arachnid/crustacean/crab/lobster/non-insect arthropod of species/breed $x_{2}$.	gismu
tirxu				$x_{1}$ is a tiger/leopard/jaguar/[tigress] of species/breed $x_{2}$ with coat markings $x_{3}$.	gismu
jegvo	jeg je'o			$x_{1}$ pertains to the common Judeo-Christian-Moslem (Abrahamic) culture/religion/nationality in aspect $x_{2}$.	gismu
milti	mil	.001		$x_{1}$ is a thousandth [1/1000; $10^{-3}$] of $x_{2}$ in dimension/aspect $x_{3}$ (default is units).	gismu
centi	cen	.01		$x_{1}$ is a hundredth [1/100; $10^{-2}$] of $x_{2}$ in dimension/aspect $x_{3}$ (default is units).	gismu
decti	dec	.1		$x_{1}$ is a tenth [1/10; $10^{-1}$] of $x_{2}$ in dimension/aspect $x_{3}$ (default is units).	gismu
no	non	0		digit/number: 0 (digit) [zero].	cmavo
pa	pav	1		digit/number: 1 (digit) [one].	cmavo
dekto	dek	10		$x_{1}$ is ten [10; $10^1$ ] of $x_{2}$ in dimension/aspect $x_{3}$ (default is units).	gismu
xecto	xet cto	100		$x_{1}$ is a hundred [100; $10^2$] of $x_{2}$ in dimension/aspect $x_{3}$ (default is units).	gismu
kilto	ki'o	1000		$x_{1}$ is a thousand [1000; $10^3$] of $x_{2}$ in dimension/aspect $x_{3}$ (default is units).	gismu
picti	pic	1E-12	trillionth	$x_{1}$ is a trillionth [$10^{-12}$] of $x_{2}$ in dimension/aspect $x_{3}$ (default is units).	gismu
femti	fem	1E-15		$x_{1}$ is $10^{-15}$ of $x_{2}$ in dimension/aspect $x_{3}$ (default is units).	gismu
xatsi	xat	1E-18		$x_{1}$ is $10^{-18}$ of $x_{2}$ in dimension/aspect $x_{3}$ (default is units).	gismu
zepti	zep	1E-21		$x_{1}$ is $10^{-21}$ of $x_{2}$ in dimension/aspect $x_{3}$ (default is units).	gismu
gocti	goc	1E-24		$x_{1}$ is $10^{-24}$ of $x_{2}$ in dimension/aspect $x_{3}$ (default is units).	gismu
mikri	mik	1E-6	micro	$x_{1}$ is a millionth [$10^{-6}$] of $x_{2}$ in dimension/aspect $x_{3}$ (default is units).	gismu
nanvi	nav	1E-9	nano	$x_{1}$ is a billionth/thousand-millionth [$10^{-9}$] of $x_{2}$ in dimension/aspect $x_{3}$ (default is units).	gismu
terto	tet	1E12	trillion	$x_{1}$ is a trillion [$10^{12}$] of $x_{2}$ in dimension/aspect $x_{3}$ (default is units).	gismu
petso	pet	1E15		$x_{1}$ is $10^{15}$ of $x_{2}$ in dimension/aspect $x_{3}$ (default is units).	gismu
xexso	xex	1E18	exa-	$x_{1}$ is $10^{18}$ of $x_{2}$ in dimension/aspect $x_{3}$ (default is units).	gismu
zetro	zet	1E21	zetta	$x_{1}$ is $10^{21}$ of $x_{2}$ in dimension/aspect $x_{3}$ (default is units).	gismu
gotro	got	1E24		$x_{1}$ is $10^{24}$ of $x_{2}$ in dimension/aspect $x_{3}$ (default is units).	gismu
megdo	meg	1E6		$x_{1}$ is a million [$10^6$] of $x_{2}$ in dimension/aspect $x_{3}$ (default is units).	gismu
gigdo	gig gi'o	1E9		$x_{1}$ is a billion [British milliard] [$10^9$] of $x_{2}$ in dimension/aspect $x_{3}$ (default is units).	gismu
