word	type	rafsi	selmaho	definition	notes	jargon	collection_note	score	glossword_1	glossword_1_meaning	glossword_2	glossword_2_meaning	glossword_3	glossword_3_meaning	glossword_4	glossword_4_meaning	glossword_5	glossword_5_meaning	glossword_6	glossword_6_meaning	glossword_7	glossword_7_meaning	glossword_8	glossword_8_meaning	glossword_9	glossword_9_meaning	glossword_10	glossword_10_meaning	glossword_11	glossword_11_meaning	glossword_12	glossword_12_meaning	glossword_13	glossword_13_meaning	glossword_14	glossword_14_meaning	glossword_15	glossword_15_meaning	glossword_16	glossword_16_meaning	glossword_17	glossword_17_meaning	glossword_18	glossword_18_meaning	glossword_19	glossword_19_meaning	glossword_20	glossword_20_meaning	placekeyword_1	placekeyword_1_meaning	placekeyword_2	placekeyword_2_meaning	placekeyword_3	placekeyword_3_meaning	placekeyword_4	placekeyword_4_meaning	placekeyword_5	placekeyword_5_meaning	placekeyword_6	placekeyword_6_meaning	placekeyword_7	placekeyword_7_meaning
a	cmavo		A	logical connective: sumti afterthought or.				100003	and/or	inclusive or	or	inclusive or	sumti or																																																	
a'a	cmavo		UI1	attitudinal: attentive - inattentive - avoiding.	See also {jundi}, {rivbi}.			100002	attentive																																																					
a'acu'i	cmavo-compound		UI*1	attitudinal: attentive - inattentive - avoiding.				100001	inattentive																																																					
a'a'e	experimental cmavo		UI3	discursive: static/specific/unchanging - dynamic/mutable/variable/slightly different/vaguer.	This involves the concept of how ‘mutable’ or changing something is.  In «mi morji lodu'u mi sa'orgau le loldi li 45 jy vo'e'e.a'a'enai» (I tilt the floor by 45 degrees), «vo'e'e» refers to the $x_2$, but an old version of $x_2$; the tilt is ‘by’ 45 degrees even when filling in at ‘at angle’ place because the frame of reference is itself - but obviously not non-dynamically itself, which would not make sense in this usage.  A sumti could refer to an imprecise category of values that are different at different points in time.  This may be like referring to a git or darcs repository, but in a dynamic sense, the sumti doesn't have to be tied to a particular revision, but each time the sumti appears it can be instatniated with a different revision, but in a static sense you are emphasizing that likely more of the context is not changing, as in traditional definitions of the law of non-contradition.  A git branch would be less dynamic than a git repo but more dynamic than a git tag.  In differential equations, it can be useful to define differentials as actually functions of a given ‘base’, e.g. dy for a given x as dy(Δx, x), especially when writing proofs involving lim(λΔx → …, 0).  Δx would be a ‘hidden’ part of the context that might vary.  Another analagy is FRP, with self-mutating functions or time-varying values.  See also: {vabysto} (static), {vabycne} (dynamic).			1	static	discursive	dynamic	discursive																																																		
a'a'enai	cmavo-compound			discursive: static/specific/unchanging - dynamic/mutable/variable/slightly different/vaguer.	This involves the concept of how ‘mutable’ or changing something is.  In «mi morji lodu'u mi sa'orgau le loldi li 45 jy vo'e'e.a'a'enai» (I tilt the floor by 45 degrees), «vo'e'e» refers to the $x_2$, but an old version of $x_2$; the tilt is ‘by’ 45 degrees even when filling in at ‘at angle’ place because the frame of reference is itself - but obviously not non-dynamically itself, which would not make sense in this usage.  A sumti could refer to an imprecise category of values that are different at different points in time.  This may be like referring to a git or darcs repository, but in a dynamic sense, the sumti doesn't have to be tied to a particular revision, but each time the sumti appears it can be instatniated with a different revision, but in a static sense you are emphasizing that likely more of the context is not changing, as in traditional definitions of the law of non-contradition.  A git branch would be less dynamic than a git repo but more dynamic than a git tag.  In differential equations, it can be useful to define differentials as actually functions of a given ‘base’, e.g. dy for a given x as dy(Δx, x), especially when writing proofs involving lim(λΔx → …, 0).  Δx would be a ‘hidden’ part of the context that might vary.  Another analagy is FRP, with self-mutating functions or time-varying values.  See also: {vabysto} (static), {vabycne} (dynamic).			1	dynamic	discursive																																																				
a'anai	cmavo-compound		UI*1	attitudinal: attentive - inattentive - avoiding.				100001	avoiding																																																					
a'anmo	fu'ivla			$x_1$ feels attentive towards $x_2$	From {a'a} {zei} {cinmo}.			2																																																						
a'asna	fu'ivla			$x_1$ is a voiceless glottal fricative sound produced by $x_2$.	Synonym: {a'asnce}. Both are derived from and synonymous with {y'y zei sance}.	linguistics		1	voiceless glottal fricative	phone	voiceless glottal spirant	phone	voiceless glottal transition	phone	H sound																																		voiceless glottal fricative	phone	speech-sound producer											
a'asnce	fu'ivla			$x_1$ is a voiceless glottal fricative sound produced by $x_2$.	Synonym: {a'asna}. Both are derived from and synonymous with {y'y zei sance}. The odd morphological form serves to place the most salient consonant in the stressed syllable.	linguistics		1	voiceless glottal fricative	phone	voiceless glottal spirant	phone	voiceless glottal transition	phone	H sound																																		voiceless glottal fricative	phone	speech-sound producer											
a'au	experimental cmavo		UI1	attitudinal: moved deeply - unimpressive	emotionally moved deeply (not only positive means). using express complexed/unexplainable emotion.			4	attitudal: moved																																																					
