token	jbo	en	date	class	description	jbo description
ge		afterwards	2025-06-11	preverb	時點前後. 以降. それから. さうして	
go		which	2024-02-13	other	動詞に後置して作用域を開く	
nu	no	zero	2024-02-13	numeral	0	digit/number: 0 (digit) [zero].
ne		at	2025-08-31	preposition	處格. …にて	
no	no'o	level	2024-09-29	numeral	普通. 標準	digit/number: typical/average value.
mi	mi	i	2024-02-13	verb	$nは我	pro-sumti: me/we the speaker(s)/author(s); identified by self-vocative.
mw	ma	who	2024-02-13	verb	$nは誰, 何	pro-sumti: sumti question (what/who/how/why/etc.); appropriately fill in sumti blank.
mu	mu	five	2024-02-13	numeral	5	digit/number: 5 (digit) [five].
mo	moi	th	2024-08-02	other	數に後置し序數を指す. $nは第…	convert number to ordinal selbri; $x_{1}$ is (n)th member of set $x_{2}$ ordered by rule $x_{3}$.
ma	mo'a	least	2024-02-13	numeral	最少量	digit/number: too few; subjective.
ca		done	2024-02-13	preverb	受動態. 前置詞と動詞に前置し, 動詞の同格を前置詞に對應する格に作用させる. 對格前置詞は省略し得る	
du		do	2024-02-13	preverb	現在	
de	de'a	rest	2025-08-05	preverb	停止相. …し已んでゐる	event contour for a temporary halt and ensuing pause in a process.
do	do	thou	2024-02-13	verb	$nは汝	pro-sumti: you listener(s); identified by vocative.
bi	bi	eight	2024-02-13	numeral	8	digit/number: 8 (digit) [eight].
by		end	2024-05-26	preverb	終了相. …し終へる	
be		by	2024-02-13	preposition	主格. …が	
ba	ba'o	already	2025-08-05	preverb	已然相. 既に	interval event contour: in the aftermath of ...; since ...; retrospective/perfect | |----.
ki	ki'o	kilo	2024-02-13	numeral	1000. 3桁ごとの區切り	digit/number: number comma; thousands.
ke		_period	2025-07-30	other	文が終はり發話が終はる	
ko	ko'a	he	2024-02-13	verb	$nは彼, あれ, それ, これ	pro-sumti: he/she/it/they #1 (specified by goi).
ka	ka'e	if	2025-07-19	preverb	叙想	modal aspect: innate capability; possibly unrealized.
tw		_loan	2024-02-13	other	言語外の表現に前置して動詞化する. $nを表現$a…が指す	
te		to	2024-02-13	preposition	與格. …へ	
ta		_comma	2025-07-30	other	文が終はり別の文が始まる	
pi	pi	decimal	2024-02-13	numeral	小數点	digit/number: radix (number base) point; default decimal.
pu	pu'o	yet	2025-08-05	preverb	未然相. 未だに	interval event contour: in anticipation of ...; until ... ; inchoative ----| |.
po		of	2024-08-02	other	數に後置し基數を指す. $nは…個	
pa	pa	one	2024-02-13	numeral	1	digit/number: 1 (digit) [one].
xu		while	2025-08-04	preverb	時點同期. 同時に	
xe		with	2024-12-24	preposition	共格. …が關はって	
xo		did	2024-02-13	preverb	過去	
xa	xa	six	2024-02-13	numeral	6	digit/number: 6 (digit) [six].
li	ci	three	2024-02-13	numeral	3	digit/number: 3 (digit) [three].
le		because	2025-07-15	preposition	因格. …に因って	
la	ca'o	keep	2024-05-26	preverb	進行相. …してゐる	interval event contour: during ...; continuative |-----|.
su	so	nine	2024-02-13	numeral	9	digit/number: 9 (digit) [nine].
so	so'i	much	2024-09-29	numeral	多量	digit/number: many.
sa	so'u	little	2024-09-29	numeral	少量	digit/number: few.
fe	fe	and	2024-02-13	joiner	連言. かつ	sumti place tag: tag 2nd sumti place.
fo	fo	or	2024-02-13	joiner	選言. または	sumti place tag: tag 4th sumti place.
fa	fa	iff	2024-02-13	joiner	同値. 即ち	sumti place tag: tag 1st sumti place.
hu		begin	2024-05-26	preverb	開始相. …し始める	
je		_close	2024-02-13	other	構造を閉ぢる. 非曖昧な時に省略する	
ja	ja'au	up	2024-09-29	numeral	增加量	subjective number which is decreasing over time
zw		so	2024-02-13	preverb	非制限修飾. 當然に…である	
zu	ze'au	down	2024-09-29	numeral	減少量	subjective number which is increasing over time
ze		ly	2024-02-13	preposition	己格. この文自身が指す事象を…として	
za	ze	seven	2024-02-13	numeral	7	digit/number: 7 (digit) [seven].
vi		will	2024-02-13	preverb	未來	
vo	vo	four	2024-02-13	numeral	4	digit/number: 4 (digit) [four].
re		him	2024-02-13	preposition	對格. …を	
ro	ro	most	2024-02-13	numeral	最多量	digit/number: each, all.
